name,code,category,retail_price,cost_price,description
"New iVMS-9000NI-S16R/C1000(STD) HikCentral Management Server 300 Channel","CDC300-HC2","Surveillance",271366.00,185999.00,""
"New HikCentral-P-VER/HW1D/300 IP Bullet 4MP HL IR 30m 2.8mm","CC400-6","Surveillance",1935.00,1310.00,"DS-2CD2041G0-LIU(2.8mm)(South"
"IP Bullet 2MP HL IR 30m 2.8mm","CC400-8","Surveillance",1765.00,1208.00,"DS-2CD2021G0-LIU(2.8mm)(South"
"IP Bullet 2MP WIFI IR30m 2.8mm","CC400-W","Surveillance",1192.00,821.97,"DS-2CV2021G2-IDW(2.8mm)(W)(O-S"
"IP Bullet 2MP EIP1.0 HL MVF","CC401-4","Surveillance",3727.00,2571.00,""
"New DS-2CD2621G0-LIZSU IP Bullet 4MP EIP1.0 HL MVF","CC401-7","Surveillance",3880.00,2659.00,""
"New DS-2CD2641G0-LIZSU(2.8-12mm)So IP Bullet 4MP AS SS IR60m 6mm","CC409-5TAS","Surveillance",3612.00,2472.00,"DS-2CD2T46G2-ISU/SL"
"6mm IP Bullet 4MP AcuSense IR 60m MVF Black","CC410-5B","Surveillance",5504.00,3760.00,"DS-2CD2646G2-IZS"
"(Black) IP Bullet 4MP AcuSense IR 60m MVF","CC410-7","Surveillance",6032.00,4162.00,"DS-2CD2646G2HT-IZS"
"2.8-12mm eF IP Bullet 4MP CV HL60m 2.8-12mm","CC410-8","Surveillance",7577.00,5186.00,"DS-2CD2647G3T-LIZSY(2.8-12mm)("
"IP Bullet 4MP AS IR30m 2.8mm","CC406","Surveillance",3341.00,2287.00,"DS-2CD2046G2H-I2U/SL"
"(2.8mm) IP Bullet 4MP AS IR60m 6mm","CC406-1","Surveillance",3089.00,2110.00,"DS-2CD2T46G2-2I"
"6mm IP Bullet 4MP AS IR80m 6mm","CC406-2","Surveillance",3474.00,2339.00,"DS-2CD2T46G2-4I(6mm)(C)(O-STD)"
"IP Bullet 8MP AS EXIR 80m 6mm","CC406-12","Surveillance",4732.00,3232.80,"DS-2CD2T86G2-4I(6mm)(C)(O-STD)"
"IP Bullet 4MP CV AS SS WL 40m 2.8mm","CC406-25TAS","Surveillance",3703.00,2545.00,"DS-2CD2047G2H-LIU/SL(2.8mm)(eF"
"IP Bullet 8MP CV HL 40m 2.8mm","CC406-26","Surveillance",4622.00,3189.00,""
"On Request DS-2CD2087G2H-LI(2.8mm)(eF IP Bullet 8MP CV AS SS WL 40m 2.8mm","CC406-26TAS","Surveillance",4810.00,3306.00,""
"New DS-2CD2087G2H-LIU/SL(2.8mm)(eF IP Bullet 4MP CV AS SS WL 40m 4mm","CC406-27TAS","Surveillance",4638.00,3129.00,"DS-2CD2T47G2H-LISU/SL"
"4mm IP Bullet 8MP CV AS SS WL 60m 4mm","CC406-28TAS","Surveillance",5508.00,3765.00,"DS-2CD2T87G2H-LISU/SL"
"4mm IP Bullet 8MP CV HL 60m 4mm","CC406-28","Surveillance",5616.00,3844.00,"DS-2CD2T87G2H-LI"
"4mm IP Bullet 4MP AS IR 40m 2.8mm","CC406-29","Surveillance",2908.00,2006.00,"DS-2CD2046G2H-I"
"(2.8mm)(C)(O-S IP Bullet 4MP AS 40m 4mm","CC406-30","Surveillance",2852.00,1948.00,"DS-2CD2046G2H-I(4mm)(O-STD)"
"IP Bullet 4MP Poly CV 40m 2.8mm","CC406-31","Surveillance",4198.00,2896.00,""
"New DS-2XC6047G0-LS(2.8mm)(O-STD)( IP Bullet 4MP AS IR 50m MVF 2.8-12mm","CC406-32","Surveillance",6027.00,4125.00,""
"New DS-2CD2646G2HT-IZS2U/SL(2.8-12 IP Bullet 4MP AS SS IR60m 4mm","CC406-33TAS","Surveillance",3762.00,2599.00,""
"New DS-2CD2T46G2H-ISU/SL(4mm)(eF)9 IP Bullet 8MP AS IR40m 2.8mm","CC406-35","Surveillance",4091.00,2804.00,"DS-2CD2086G2H-I"
"2.8mm IP Bullet 8MP AS IR40m 4mm","CC406-36","Surveillance",4091.00,2804.00,"DS-2CD2086G2H-I"
"4mm IP Bullet 8MP AS IR60m 2.8-12mm","CC406-37","Surveillance",6940.00,4788.00,""
"New DS-2CD2686G2HT-IZS IP Bullet 4MP AS SS IR 60m 2.8mm","CC406-39TAS","Surveillance",3786.00,2645.00,""
"New DS-2CD2T46G2H-IS2U/SL(2.8mm)(e IP Bullet 4MP CV HL40m 2.8mm","CC406-43","Surveillance",3765.00,2498.00,""
"New DS-2CD2047G3-LI2UY(2.8mm)(O-ST IP Bullet 4MP CV HL60m 4mm","CC406-44","Surveillance",4620.00,3089.00,""
"New DS-2CD2T47G3-LIY(4mm)(O-STD) IP Dome 2MP EIP1.0 HL MVF","CC401-5","Surveillance",3916.00,2699.00,"DS-2CD2721G0-LIZSU(2.8-12mm)So"
"IP Dome 4MP EIP1.0 HL MVF","CC401-6","Surveillance",3947.00,2723.00,"DS-2CD2741G0-LIZSU(2.8-12mm)So"
"IP Dome 4MP AS Audio IR10m 2.8mm","CC407-5","Surveillance",3504.00,2394.00,"DS-2CD2546G2-IS"
"IP Dome 4MP AS IR 30m 2.8mm","CC408-26","Surveillance",3169.00,2171.00,"DS-2CD2146G2H-ISU(2.8mm)(O-STD"
"IP Dome 4MP AS 30m 4mm","CC408-27","Surveillance",3140.00,2152.00,"DS-2CD2146G2H-ISU(4mm)(O-STD)"
"IP Dome 4MP CV WL40m 2.8-12mm","CC408-28","Surveillance",5977.92,3899.00,"DS-2CD2747G2T-LZS(2.8-12mm)(C)"
"IP Dome 8MP AS Audio IR30m 2.8mm","CC408-30","Surveillance",4195.00,2877.00,""
"New DS-2CD2186G2H-ISU (2.8mm)(eF)( IP Dome 8MP AS IR40m PTRZ 2.8-12mm","CC408-31","Surveillance",7629.00,5229.00,""
"New DS-2CD2786G2H-IPTRZS(2.8-12mm) IP Dome 4MP AS IR40m PTRZ 2.8-12mm","CC408-32","Surveillance",5969.00,4091.00,""
"New DS-2CD2746G2H-IPTRZS(2.8-12mm) IP Dome 4MP CV HL 30m 2.8mm","CC408-35","Surveillance",4154.00,2759.00,""
"New DS-2CD2147G3-LIS2UY(2.8mm)(O-S IP Thermal Bullet 640x512 15mm","CC352","Surveillance",98610.00,67375.00,"DS-2TD2167-15/PY"
"IP Thermal Bullet 640x512 25mm","CC353","Surveillance",98610.00,67375.00,"DS-2TD2167-25/PY"
